record_id,type,sub_type,listPrice,price_tier,price_per_sqft,sqft,lot_sqft,lot_size_tier,beds,baths,baths_full,garage,stories,bed_bath_config,year_built,property_age,property_era,is_new_construction,listing_description,listing_text_word_count,listing_text_richness,data_source,scrape_date,dataset_version
5b074b958a3bcf,Single Family,,730000.0,Premium ($500-750K),167.66,4354.0,66211.0,Acreage (1-5 acres),4,4,4,3,,4BR / 4BA,2023,3,Near New (3-10 yrs),1,"This executive style new construction home in the sought after Arrowhead Ridge Subdivision W of Denver offers a refined blend of luxury and comfort. The main entrance opens into an impressive Great Room with trayed ceilings & gas fireplace that flows seamlessly into a gourmet kitchen featuring quartz countertops and stainless-steel appliances. A dining room & sunroom sit just off the kitchen, with the sunroom providing access to the private deck. A spacious master ensuite with a double vanity, tiled shower & walk-in closet has direct access to the laundry room. Entry from the 3-stall garage leads to versatile mudroom. The main floor also includes a 2nd bedroom, full bath, 1/2 bath and study/office. Luxury vinyl plank flooring, 9-foot specialty ceilings/lighting, and abundance of windows enhance the home with natural light, modern elegance and spectacular nature views! The lower level is roughed in for 2 bedrooms, 2 baths, a large family room with a bar area, a movie room and walkout access to the backyard. Set among rolling hills with a wooded backdrop and frequent wildlife, this property offers a peaceful retreat with hard-surfaced roads and easy access to the metro area.",192,Rich (150+ words),Iowa MLS-Style Active Listings (Public),2026-04-24,v1.0
27fe5389cb39eb,Single Family,,250000.0,Mid-Entry ($150-250K),258.8,966.0,14157.0,Large (0.25-1 acre),3,1,1,1,2,3BR / 1BA,1972,54,Mature (51-100 yrs),0,"Move-in ready and packed with updates! This 3 bedroom, 1 bath split foyer in Pleasant Hill offers peace of mind with a newer roof, windows, siding, furnace, and A/C. Inside, you'll find durable LVP flooring throughout both upper and lower living areas, along with quality finishes including solid oak trim work and a beautifully updated bath with tile surround. Enjoy added value with Eagle aluminum-clad windows with built-in blinds and a sliding door with integrated blinds for style and functionality. Situated on a huge corner fenced lot, there's ample space for outdoor living, pets, or entertaining. Located within walking distance to Pleasant Hill Elementary, this home combines updates, location, and everyday convenience - making it a must-see!",117,Standard (80-150 words),Iowa MLS-Style Active Listings (Public),2026-04-24,v1.0
4ad6788f40a7fa,Single Family,,394990.0,Upper-Mid ($350-500K),180.28,2191.0,7492.0,Standard (3K-10.9K sqft / <0.25ac),4,3,3,3,,4BR / 3BA,2026,0,New Build (0-2 yrs),1,"[Redacted Builder/Agency], America's Builder, presents the [Redacted Person]. This spacious Ranch home includes 4 Bedrooms and 3 Bathrooms. The [Redacted Person] offers a Finished Basement providing nearly 2,200 square feet of total living space! As you make your way into the main living area, you'll find an open Great Room featuring a cozy fireplace. The Gourmet Kitchen includes a Walk-In Pantry, Quartz Countertops, and a Large Island overlooking the Dining and Great Room. The Primary Bedroom offers a large Walk-In Closet, as well as an ensuite bathroom with dual vanity sink and walk-in shower. Two additional [Redacted Person] and the second full bathroom are split from the Primary Bedroom at the opposite side of the home. Heading to the Finished Lower Level you'll find an additional Oversized living space along with the Fourth Bedroom, full bathroom, and tons of storage space! All [Redacted Builder/Agency] Iowa homes include our America's Smart Home(TM) Technology and comes with an industry-leading suite of smart home products. Video doorbell, garage door control, lighting, door lock, and thermostat. - all controlled through one convenient app! Also included are DEAKO(R) decorative plug-n-play light switches with smart switch capability. Photos may be similar but not necessarily of subject property, including interior and exterior colors, finishes and appliances.",209,Rich (150+ words),Iowa MLS-Style Active Listings (Public),2026-04-24,v1.0
02f573b2dcc327,Single Family,,474990.0,Upper-Mid ($350-500K),213.48,2225.0,9583.0,Standard (3K-10.9K sqft / <0.25ac),4,3,1,3,2,4BR / 3BA,2025,1,New Build (0-2 yrs),1,"This Richland Plan from [Redacted Builder/Agency] in Waukee's [Redacted Person], is an open concept, two story entry, large kitchen with adjacent family room. If you like to entertain you will love this layout. A 4 bedroom, 3 bath floorplan also includes a main level multi-purpose room that works as a study or office. This home has all the bells and whistles with over 2200 Finished Sq. Ft. The spacious master suite boasts a bath including a double vanity, tile shower, bubble tub and large walk in closet. Wait - there is a more - a convenient second floor laundry room! Come check out the extensive features of this home. Home is in a versatile Waukee location with several shops and restaurants close. Waukee School district with quick interstate access on Grand Prairie Parkway. Home warranty included. [Redacted Builder/Agency] has been building in the Des Moines area for 60 years.",149,Standard (80-150 words),Iowa MLS-Style Active Listings (Public),2026-04-24,v1.0
8021830bc031f9,Single Family,,229000.0,Mid-Entry ($150-250K),139.29,1644.0,9148.0,Standard (3K-10.9K sqft / <0.25ac),3,1,1,2,,3BR / 1BA,1975,51,Mature (51-100 yrs),0,"Charming 3 bedroom, 1 bath home with 1,144 sq ft in the main floor plus an extra finished 500 sq ft in the basement. Conveniently located within walking distance to Tyson Foods. This home features new tile flooring in the living room, dining area, and kitchen, giving it a clean, updated feel. Bedrooms and bathrooms have also received updated flooring. New doors and trims have been added to the upstairs of the home. The bathroom has been recently remodeled, and a new water heater add extra peace of mind. Enjoy a large backyard with plenty of space for relaxing, entertaining, or pets. With its thoughtful updates and practical layout, this home is move~in ready and full of potential. Don't miss this great opportunity!!!!",123,Standard (80-150 words),Iowa MLS-Style Active Listings (Public),2026-04-24,v1.0
c8db81e7b60212,Condo,condo,325000.0,Mid-Market ($250-350K),216.67,1500.0,566280.0,Estate (5-50 acres),2,2,2,2,,2BR / 2BA,2024,2,New Build (0-2 yrs),1,"Enjoy easy, low-maintenance living in this beautifully built 1,500 sq. ft. new construction duplex designed with comfort and convenience in mind. Offering 2 bedrooms and 2 bathrooms, this thoughtfully designed home features zero-entry access and no basement-ideal for simplified, single-level living. Inside, you'll find durable LVP flooring throughout, elegant quartz countertops, custom cabinetry, and quality Pella windows that fill the space with natural light. The open layout is enhanced by vaulted ceilings and a cozy fireplace, creating a warm and inviting atmosphere perfect for relaxing or entertaining. Step outside to a concrete patio, and enjoy the convenience of a finished, heated two-stall garage-perfect for year-round comfort and extra storage. Built for those looking to downsize without compromise, this home offers modern finishes, functional design, and the ease of low-maintenance living in a brand-new space you'll love coming home to.",139,Standard (80-150 words),Iowa MLS-Style Active Listings (Public),2026-04-24,v1.0
9ecfeb989048f3,Single Family,,619900.0,Premium ($500-750K),361.25,1716.0,16553.0,Large (0.25-1 acre),4,3,2,3,1,4BR / 3BA,2026,0,New Build (0-2 yrs),1,"Welcome home! This 4 bedroom ranch is waiting for you to make this your next address! Brand new construction in the new Timberview Addition in Pella. This open concept design offers two bedrooms on main floor near the primary en-suite, full bath for the kids or guests. Primary bedroom with tray ceiling, [Redacted Builder/Agency]wall, walk-in tile shower and large walk-in closet. Great room is adorned with fireplace to enjoy on those cold evenings, beautiful kitchen with 42"" upper cabinets, large walk-in pantry, island, quartz countertops, all kitchen appliances included, whole home soft close on all cabinets, main floor has lvp, tile in the common area & bathrooms, carpet in bedrooms. Great mud room and main floor laundry. Finished basement with fourth bedroom, bathroom, large family room and abundance of storage! Covered deck and three car attached garage complete this beauiful home.",141,Standard (80-150 words),Iowa MLS-Style Active Listings (Public),2026-04-24,v1.0
2d392d6d08931b,Single Family,,320000.0,Mid-Market ($250-350K),183.91,1740.0,7440.0,Standard (3K-10.9K sqft / <0.25ac),3,2,2,2,,3BR / 2BA,1980,46,Established (26-50 yrs),0,"Updated 3~Bedroom Ranch in Desirable Morningside Cul~de~Sac Located in a highly desirable Morningside neighborhood, this 3~bedroom, 2~bath ranch sits on a quiet cul~de~sac and offers comfort, updates, and great outdoor living. The entryway opens to a light and airy living room. Home features an updated kitchen with breakfast bar and stainless steel appliances. The dedicated dining room is open to the kitchen and includes sliding doors to a deck with a grill canopy, making it perfect for entertaining. Pantry features sliding barn door. LVP on most of main floor. The finished basement adds flexibility with a bonus room ideal for an office, craft space, or workout area. Enjoy a warm fire on those chilly spring days with your woodburning fireplace located in the family room. Separate storage area has shelving for all your holiday decor. Outside, enjoy a fenced backyard complete with a fun playground set and garden area ready for spring planting!! A little something for relaxation or play. Additional highlights: Double car garage Primary bedroom with private access to main bathroom Entertainment deck This move~in ready home offers a great layout in a sought~after location-don't miss it!!!!",189,Rich (150+ words),Iowa MLS-Style Active Listings (Public),2026-04-24,v1.0
717207f9aa4867,Townhome,townhouse,336900.0,Mid-Market ($250-350K),206.31,1633.0,,Unknown,2,2,2,2,1,2BR / 2BA,2006,20,Modern (11-25 yrs),0,"Over 1600 square feet of open living in this 55+ community. Move past the covered front porch and enter the spacious living area with soaring vaulted ceilings with oak and granite surrounded fireplace and a bonus room in the back which could be used as reading room, [Redacted Person], or any purpose. You will notice that the kitchen is also conveniently open to the living space. Large front porch, Air filter system. Very spacious master suite (with large walkin closet, [Redacted License] room and separate toilet shower area). Special features--Enjoy the independence and privacy of independent living that includes owner rights of the upscale clubhouse equipped with a theater, exercise room, barber/beauty shop, library, bank, daily coffee gatherings, socials, and transportation to social events. Owners of this property also have priority rights for independent living, memory care, and assisted living if needed. This is a fun place to live as this neighborhood for example participates in but not [Redacted Person]mited to the following: Thursday morning coffee donut social, Tuesday morning women's coffee, Wednesday/Thursday men's coffee, Small group of golfers weekly,annual Christmas social hour, dinner, annual ice cream social -- Legacy Point Sponsored Activities in which HOA members participate include: Thursday afternoon happy hour, Daily exercise programs, and many others available. (ramp will be removed at seller's expense if buyer prefers) Property sold as is.",224,Rich (150+ words),Iowa MLS-Style Active Listings (Public),2026-04-24,v1.0
155ea5f4fd0fd3,Single Family,,150000.0,Affordable ($100-150K),73.82,2032.0,6534.0,Standard (3K-10.9K sqft / <0.25ac),3,1,1,2,,3BR / 1BA,1910,116,Historic (100+ yrs),0,"Welcome home! This beautiful gem is sure to please, bursting with character and charm throughout. Upon entering the front door, you will be greeted with an expansive 3 seasons porch and then into the main level offering 10' ceilings and true arch doorways to the formal dining room and living room which showcases a gorgeous fireplace. Tons of work area in the kitchen along with plenty of counter and cabinet space with a super cute breakfast nook and a half bath. The fantastic wood staircase leads you upstairs to 3 expansive bedrooms, a full bathroom, and a quaint 2nd level rear porch. Loads of potential with the walk-up attic. Clean, bright lower level is where you will find laundry hook ups and plenty of storage space. This great opportunity is complete with an oversized 2-stall garage, a fenced back yard, and parking space next to the alley. This home has been well maintained, offering newer windows, roof, electrical, plumbing, and much more. [Redacted Contact] private tour.",166,Rich (150+ words),Iowa MLS-Style Active Listings (Public),2026-04-24,v1.0
